,filename_record,support0,support1,acc01_frm,p1_frm,r1_frm,f1_frm,fp_rate,fn_rate,boundary_win,p1_sbr,r1_sbr,f1_sbr,r2e_deviation1,e2r_deviation1,p01_sbr,r01_sbr,f01_sbr,r2e_deviation01,e2r_deviation01,p_pairwise,r_pairwise,f_pairwise,nce_over,nce_under,nce_f,rand_index,adjrand_index,mutual_info,adjmutual_info,normmutual_info
0,ChopinOp66,200,660,0.83023255814,0.865056818182,0.922727272727,0.892961876833,0.475,0.0772727272727,0.568888888889,0.833333333333,0.851063829787,0.842105263158,0.1385,0.097,0.836734693878,0.854166666667,0.845360824742,0.1365,0.0955,0.756459355952,0.827130639929,0.790218065025,0.466643711319,0.367319634219,0.411066980988,0.717778920865,0.36175621098,0.103808330507,0.190532799246,0.204847920885
1,ChopinOp28No20,277,783,0.758490566038,0.755577109602,0.994891443167,0.858875413451,0.909747292419,0.00510855683269,0.557278911565,0.7,0.07,0.127272727273,5.068,0.495,0.75,0.0882352941176,0.157894736842,4.981,0.488,0.630375011056,0.972658030832,0.764974022267,0.85156309119,0.203796921388,0.328884805723,0.633288791491,0.0798378666613,0.0225479376595,0.0384415711952,0.0839991205117
2,ChopinOp10No3,271,849,0.817857142857,0.811594202899,0.989399293286,0.891719745223,0.719557195572,0.0106007067138,0.54566893424,0.704545454545,0.3875,0.5,1.3135,0.107,0.717391304348,0.40243902439,0.515625,1.14,0.1025,0.694645094818,0.943564798354,0.80019374996,0.728622375511,0.317870226128,0.44263544511,0.701800076599,0.262723361543,0.0805172332925,0.144816777942,0.208845274859
3,ChopinB49,444,1111,0.740192926045,0.777690494894,0.891089108911,0.830536912752,0.637387387387,0.108910891089,0.417959183673,0.732876712329,0.713333333333,0.722972972973,0.25,0.135,0.736486486486,0.717105263158,0.726666666667,0.2355,0.1305,0.647157665184,0.768721213062,0.702720879683,0.375400700529,0.195545642561,0.257144903689,0.615137783627,0.168365721863,0.0404958776889,0.0672047182948,0.0761015079088
4,ChopinOp28No15,309,611,0.773913043478,0.764783180026,0.952536824877,0.848396501458,0.57928802589,0.0474631751227,0.394739229025,0.893442622951,0.8515625,0.872,0.1435,0.115,0.895161290323,0.853846153846,0.874015748031,0.134,0.1105,0.642249478858,0.828384079747,0.723537471858,0.487266528776,0.230584333325,0.313034457772,0.649675923736,0.265833082791,0.104939395427,0.163700569915,0.19359831348
5,ChopinOp28No4,325,995,0.788636363636,0.784578696343,0.991959798995,0.876165113182,0.833846153846,0.00804020100503,0.522448979592,0.705882352941,0.173913043478,0.279069767442,3.5955,0.125,0.722222222222,0.185714285714,0.295454545455,3.5505,0.108,0.661963247466,0.958824120695,0.783207398024,0.789368701732,0.257531855086,0.388360832899,0.666369150183,0.154288087627,0.0434956417553,0.0772962915395,0.133745167056
6,ChopinOp28No7,69,291,0.794444444444,0.870307167235,0.876288659794,0.873287671233,0.550724637681,0.123711340206,0.615328798186,0.625,0.588235294118,0.606060606061,0.4005,0.2415,0.647058823529,0.611111111111,0.628571428571,0.3755,0.2345,0.759807953055,0.767450214409,0.763609963141,0.373310681333,0.361630620771,0.367377838323,0.672485298669,0.230689404165,0.0461467084033,0.0918209427543,0.0952331232718
7,ChopinOp23No1,358,722,0.772222222222,0.761538461538,0.959833795014,0.849264705882,0.606145251397,0.0401662049861,0.499229024943,0.923076923077,0.813559322034,0.864864864865,0.212,0.122,0.924528301887,0.816666666667,0.867256637168,0.208,0.1175,0.637945135059,0.843104678202,0.726315243402,0.516278476692,0.226982368334,0.315329704622,0.646876394467,0.254774152876,0.10005544353,0.156735780038,0.190168814208
8,ChopinOp28No6,292,788,0.789814814815,0.781909547739,0.98730964467,0.872686483455,0.743150684932,0.0126903553299,0.650158730159,0.925925925926,0.423728813559,0.581395348837,0.955,0.0845,0.928571428571,0.433333333333,0.590909090909,0.9335,0.0805,0.659544053726,0.931771252879,0.772372623726,0.706160177455,0.261759643658,0.381941215344,0.667677547798,0.218828637183,0.0719176494048,0.122523574239,0.179322433957
9,ChopinOp69No2,189,591,0.738461538462,0.883168316832,0.754653130288,0.813868613139,0.312169312169,0.245346869712,0.476009070295,0.6484375,0.864583333333,0.741071428571,0.111,0.136,0.653846153846,0.867346938776,0.745614035088,0.1065,0.1295,0.726170915815,0.62344686145,0.670899547957,0.173926471308,0.311406788464,0.223194610171,0.613231954182,0.208494021386,0.0764289481785,0.116885578347,0.127491665778
